Athlete_ID,Training_Program,Diet_Type,Initial_Fitness,Performance_Inc
1,Strength,Keto,Low,8.749523632892886
2,HIIT,Plant-Based,High,9.452780512992064
3,Strength,Plant-Based,Low,13.9285059339898
4,Strength,Plant-Based,High,9.605556658292953
5,HIIT,Plant-Based,Low,7.547893991603795
6,HIIT,High-Protein,Low,10.083330534250766
7,Strength,Plant-Based,Medium,10.35625685152213
8,Endurance,Keto,Medium,10.071270919700911
9,Strength,Keto,High,11.599382445170415
10,Strength,Plant-Based,Medium,10.138011022718066
11,Strength,Plant-Based,High,11.537454984294659
12,Strength,Keto,Medium,8.43931329188457
13,HIIT,Keto,Low,13.561458876290445
14,Strength,High-Protein,High,10.50495957668717
15,Endurance,Keto,High,10.800437940814076
16,HIIT,High-Protein,Low,8.430976212373395
17,Endurance,High-Protein,High,10.943653982532792
18,Endurance,High-Protein,High,11.302130113340608
19,Endurance,High-Protein,Medium,7.66046313234982
20,Endurance,High-Protein,High,6.681816823224686
21,HIIT,Plant-Based,Low,10.587332047218931
22,HIIT,Keto,Medium,9.022460353088935
23,Endurance,High-Protein,Medium,10.51984293827146
24,Endurance,Keto,Low,7.41792785820377
25,HIIT,Keto,Low,6.878988171234658
26,HIIT,High-Protein,Medium,10.413378926002155
27,HIIT,Plant-Based,High,9.300432478086295
28,Strength,High-Protein,Medium,5.778600957699643
29,Strength,Plant-Based,Low,12.686197636215459
30,Strength,Keto,Medium,7.384685863632486
31,Endurance,Plant-Based,Low,15.146649904220865
32,Strength,Plant-Based,Medium,8.751966542222842
33,Endurance,Plant-Based,High,10.803121136251997
34,Endurance,Keto,Medium,13.293898020774371
35,Strength,Keto,Medium,12.95886785565765
36,Endurance,Plant-Based,Low,13.972272812453765
37,Strength,Plant-Based,Low,6.953847522239293
38,Strength,High-Protein,Low,7.728269004985506
39,HIIT,Plant-Based,Medium,10.45199454818806
40,Strength,High-Protein,High,11.679494875795427
41,HIIT,Plant-Based,Low,9.977545113240724
42,Strength,High-Protein,Low,6.724011928573223
43,Strength,Keto,Medium,10.993156317929598
44,HIIT,Plant-Based,Low,9.61149722353193
45,HIIT,Plant-Based,High,9.587522082088267
46,Strength,Plant-Based,High,5.444099164378885
47,Endurance,Plant-Based,Low,11.594968408956628
48,HIIT,High-Protein,Low,10.290408120570916
49,Endurance,Plant-Based,Medium,13.590329113277926
50,Endurance,Keto,High,9.850984706937655
51,Endurance,Keto,High,11.132680261038045
52,HIIT,Plant-Based,Low,11.663636352210526
53,Endurance,Keto,Medium,6.507676882677618
54,HIIT,Plant-Based,High,15.233399893203186
55,Endurance,Plant-Based,High,9.138415224154766
56,Strength,Keto,Medium,10.989133204284968
57,Strength,Plant-Based,Medium,11.281164013898303
58,HIIT,Keto,High,8.370431744019406
59,Strength,High-Protein,High,13.693960662895206
60,Strength,Plant-Based,Medium,10.531910538708864
61,Endurance,High-Protein,High,9.573054726185333
62,HIIT,Keto,Low,10.277015924776885
63,Endurance,High-Protein,Low,11.528504397218047
64,Endurance,High-Protein,Medium,10.021596329619399
65,Endurance,Keto,Medium,11.763859820766479
66,Endurance,High-Protein,Medium,6.630255722064522
67,Endurance,High-Protein,Low,8.50406002034702
68,Endurance,Keto,High,5.722399370381369
69,Endurance,High-Protein,Low,13.994016313685892
70,HIIT,Keto,High,13.967984255369869
71,Strength,High-Protein,Low,11.25323213506597
72,Endurance,Keto,High,7.974763858173937
73,Endurance,Keto,Low,14.779756544436648
74,Endurance,High-Protein,Medium,8.791171043736576
75,Endurance,High-Protein,Low,9.573585746189671
76,Endurance,High-Protein,High,10.319066811461445
77,Endurance,Plant-Based,Low,10.90303188403794
78,Strength,Plant-Based,Low,11.287605203408637
79,Strength,Plant-Based,Low,11.367923274948902
80,Endurance,Keto,Medium,9.71095182929219
81,Strength,High-Protein,Low,11.336201903513425
82,HIIT,Keto,Medium,9.621584681008645
83,Endurance,Plant-Based,Medium,11.158606873744441
84,HIIT,High-Protein,Low,10.994583555661551
85,HIIT,Keto,Low,11.525694581596241
86,Endurance,High-Protein,Low,11.27593339804193
87,Strength,Keto,High,9.115135250177405
88,HIIT,High-Protein,Low,10.917420343118025
89,Endurance,Plant-Based,Medium,11.306799475829774
90,HIIT,Plant-Based,Low,7.417751222102588
91,HIIT,High-Protein,High,9.45191128553794
92,HIIT,Keto,Low,11.216227782436667
93,HIIT,Plant-Based,High,13.418584989459244
94,Strength,Plant-Based,High,11.649800372257468
95,HIIT,Plant-Based,Low,13.54475597395519
96,HIIT,High-Protein,Medium,9.203253219646102
97,HIIT,High-Protein,High,10.500380984495287
98,Strength,Keto,Low,11.611470599052236
99,HIIT,Keto,Low,5.347296573000446
100,HIIT,Keto,Medium,13.021606436229053
101,Strength,High-Protein,High,6.278180238290707
102,Strength,High-Protein,High,11.993880136556806
103,Strength,Keto,Low,11.373663581085292
104,HIIT,Keto,Low,5.320813994970227
105,Strength,High-Protein,Medium,5.421877486134005
106,Strength,Keto,Medium,12.864963834905012
107,HIIT,Plant-Based,High,12.429444119373096
108,Strength,High-Protein,High,8.238272711023479
109,HIIT,Keto,Low,8.236242209911872
110,Endurance,High-Protein,High,11.025209944752442
111,Strength,Plant-Based,Medium,9.974511699023264
112,Endurance,High-Protein,Medium,12.108790431698228
113,HIIT,High-Protein,Low,10.959161848866174
114,Strength,High-Protein,Medium,13.16606158791307
115,HIIT,High-Protein,Medium,11.940155555827452
116,Endurance,Plant-Based,Medium,11.441546098281155
117,HIIT,High-Protein,Medium,9.295750559392651
118,Strength,High-Protein,Low,9.14935753167631
119,Strength,Keto,Low,9.896482030589398
120,Endurance,High-Protein,High,13.681886139874416
121,HIIT,Keto,Medium,9.187450541220432
122,Strength,Plant-Based,High,10.521057974148032
123,Endurance,Plant-Based,Low,5.510394184585381
124,Strength,Plant-Based,Low,11.35161746008816
125,Strength,Plant-Based,Low,14.514396562186278
126,HIIT,Keto,Low,8.13272378147415
127,Strength,High-Protein,Low,16.348884274253518
128,HIIT,Plant-Based,Low,10.364481209313308
129,Strength,High-Protein,Low,4.854137517231312
130,Endurance,Keto,Medium,9.228923520064178
131,Strength,Keto,High,12.660877126538166
132,HIIT,Keto,Low,13.998634412499609
133,HIIT,Plant-Based,Medium,11.436197096503367
134,Endurance,High-Protein,Medium,13.135188841757936
135,Strength,High-Protein,High,7.6444289170152935
136,Strength,High-Protein,Low,8.639476825612183
137,Endurance,Keto,High,6.641081435996419
138,Strength,Plant-Based,Low,8.789873848016192
139,Strength,Keto,Medium,11.523837972871332
140,HIIT,Keto,Medium,10.42531152476604
141,Strength,High-Protein,Medium,11.735698073326365
142,Strength,Keto,Medium,8.126971965006527
143,Endurance,High-Protein,High,8.248949946376268
144,Endurance,Plant-Based,Low,10.409220419049825
145,HIIT,High-Protein,Low,8.79470438938937
146,Strength,Plant-Based,High,12.60369833632019
147,Strength,High-Protein,Low,8.745162231245047
148,Strength,Keto,Medium,9.009221514137506
149,HIIT,Keto,Low,10.837678827736974
150,HIIT,Plant-Based,Medium,9.221423616545014
151,Endurance,Plant-Based,High,7.530111212925173
152,HIIT,Plant-Based,Low,7.801288350335822
153,Strength,High-Protein,High,11.075531916813912
154,Strength,High-Protein,Low,7.28257697087588
155,HIIT,Plant-Based,Medium,12.794328855097621
156,Strength,Keto,High,8.619201431396501
157,Strength,High-Protein,Low,11.232431633936121
158,HIIT,High-Protein,Medium,8.739174751940732
159,HIIT,High-Protein,High,8.16951724000727
160,Strength,Plant-Based,High,10.492207364580365
161,Strength,Plant-Based,Low,12.1035669340318
162,Strength,Plant-Based,Low,9.505264498279791
163,Endurance,Plant-Based,Low,9.86904529248508
164,Endurance,Plant-Based,Medium,11.614834722165602
165,Endurance,Keto,Low,11.681054500503112
166,HIIT,Keto,High,9.923016559960518
167,Endurance,Plant-Based,High,9.113040215029422
168,HIIT,High-Protein,Low,10.165311918890064
169,HIIT,Plant-Based,Low,9.618177017223314
170,Endurance,Keto,High,10.625948303633704
171,Endurance,Keto,Medium,7.611459146308494
172,Endurance,High-Protein,Low,10.554363158717493
173,Strength,Keto,Low,8.563393167658504
174,Endurance,Plant-Based,High,11.811775222981005
175,Strength,High-Protein,Low,8.65506430125897
176,HIIT,Plant-Based,Medium,8.689780465618135
177,Strength,Plant-Based,High,10.890797648823481
178,Endurance,High-Protein,Low,10.028423777632394
179,HIIT,Plant-Based,High,14.553303252797676
180,HIIT,Keto,Low,6.741394778891495
181,HIIT,Plant-Based,Low,10.219705893909488
182,Strength,High-Protein,Low,12.25929896994474
183,Endurance,High-Protein,Medium,8.8433721541454
184,HIIT,High-Protein,Medium,8.178884310520239
185,HIIT,Plant-Based,High,8.258270704707343
186,HIIT,High-Protein,Low,6.776077640699831
187,Strength,High-Protein,Low,12.69940925462139
188,Strength,Plant-Based,Medium,9.340765316387184
189,Endurance,Keto,Low,9.103945720399539
190,Strength,Plant-Based,Medium,5.751803851339653
191,HIIT,High-Protein,Low,7.1325828550762305
192,Endurance,High-Protein,High,12.930779511038189
193,HIIT,Plant-Based,Low,10.606211332201157
194,HIIT,Keto,Low,12.333001659850211
195,Strength,High-Protein,Medium,12.07998487965966
196,Endurance,High-Protein,Low,7.998759438854119
197,Strength,High-Protein,Low,14.859695457307938
198,Strength,Plant-Based,Medium,13.89946519120246
199,Endurance,High-Protein,High,8.87246711575393
200,HIIT,Keto,High,2.863589401280236
201,HIIT,High-Protein,Medium,9.286935820111847
202,Endurance,High-Protein,Medium,10.476592524242896
203,HIIT,Keto,Medium,8.864561930448618
204,Endurance,High-Protein,Medium,9.556955806630565
205,Endurance,Plant-Based,Medium,8.34268392732441
206,Strength,Plant-Based,High,11.843269436707695
207,Endurance,Plant-Based,High,10.127266480737111
208,Strength,Keto,Medium,11.903028125885907
209,HIIT,High-Protein,Low,12.444406692415875
210,HIIT,Plant-Based,Medium,5.651352871826706
211,HIIT,Keto,Low,8.458955578331794
212,HIIT,High-Protein,Medium,8.751941412718914
213,Strength,Keto,Medium,15.142744719377566
214,HIIT,Plant-Based,High,10.298010733800648
215,Endurance,Plant-Based,Low,11.625121192726128
216,Endurance,Plant-Based,Low,6.238616461450977
217,Endurance,Keto,High,10.286430904995044
218,Strength,Keto,High,11.956585964232515
219,HIIT,Plant-Based,High,11.723930170120312
220,HIIT,Keto,High,11.246798877832703
221,HIIT,Plant-Based,Low,10.026001012990251
222,Strength,Plant-Based,Low,10.123137241250902
223,Endurance,High-Protein,Medium,6.6134676505804215
224,Endurance,Keto,Medium,8.198934229625713
225,HIIT,Plant-Based,High,10.461887912776326
226,Endurance,Plant-Based,High,8.56804838614759
227,Endurance,Keto,High,11.37767649406557
228,Strength,High-Protein,Medium,10.933565100529725
229,Strength,High-Protein,Medium,12.734740509443988
230,Strength,Plant-Based,Medium,11.916507652305143
231,Strength,Keto,Medium,10.454522818269137
232,HIIT,High-Protein,Medium,11.495960868123833
233,Strength,Keto,Medium,12.01020432459931
234,Endurance,Keto,Medium,8.985125428184036
235,HIIT,Plant-Based,High,9.341338003360395
236,Endurance,High-Protein,High,9.806347925213178
237,Endurance,Plant-Based,High,9.048938911671302
238,Endurance,High-Protein,High,12.031373890126968
239,Strength,High-Protein,Medium,8.745378916645391
240,Strength,High-Protein,Low,12.50330294279965
241,HIIT,High-Protein,Medium,9.266053602239236
242,HIIT,High-Protein,Low,10.944793285678717
243,Strength,Keto,High,10.332830297525776
244,Endurance,Plant-Based,Medium,8.048040383416666
245,HIIT,Keto,High,9.960220541018419
246,Strength,High-Protein,Medium,10.667287062901195
247,Strength,Plant-Based,High,9.871414625779003
248,Strength,High-Protein,Low,7.314586882987432
249,Endurance,Plant-Based,Low,13.402858487052344
250,Strength,Keto,Low,10.175398965723472
251,Strength,Plant-Based,Medium,8.411394849672956
252,Strength,Plant-Based,Low,13.241536046934549
253,Strength,Plant-Based,Medium,11.234779619440651
254,HIIT,Plant-Based,Low,7.599660007196782
255,HIIT,Plant-Based,Low,7.911010507200243
256,Strength,High-Protein,Medium,9.555210560224316
257,Endurance,Plant-Based,Medium,10.594613957699645
258,HIIT,Plant-Based,Low,11.245599662927845
259,Strength,Keto,Medium,11.900356959057135
260,HIIT,Plant-Based,Low,11.079144812800285
261,HIIT,Keto,Medium,12.693491957281992
262,Endurance,High-Protein,High,10.25358631936094
263,Strength,Plant-Based,High,8.480721239043556
264,Strength,Keto,High,9.993298260682053
265,Endurance,Keto,High,9.862038679308416
266,Endurance,High-Protein,High,4.843569140675016
267,Strength,Plant-Based,Low,8.877266281808684
268,Strength,Plant-Based,High,10.628407465900901
269,Endurance,Keto,High,9.151568869576428
270,HIIT,Plant-Based,High,8.707581276354002
271,HIIT,Keto,High,11.822752391609127
272,Endurance,Plant-Based,Medium,8.166908350449122
273,HIIT,Keto,Low,11.423245300941646
274,Endurance,Plant-Based,High,7.3345110584234305
275,HIIT,High-Protein,High,15.521523871452368
276,HIIT,Plant-Based,High,9.568628946197485
277,Strength,Plant-Based,Low,9.353469421407887
278,Strength,High-Protein,Medium,12.286131805779839
279,HIIT,Plant-Based,Low,9.162590318387101
280,HIIT,High-Protein,Medium,12.909855616651333
281,Strength,Plant-Based,High,10.743187660973053
282,Strength,Keto,High,9.763204198907541
283,Strength,Keto,Low,9.54998819325925
284,Endurance,Plant-Based,Low,12.415184340860524
285,HIIT,Plant-Based,Medium,10.460974429207006
286,Strength,Plant-Based,Medium,10.86461746238154
287,HIIT,Keto,Low,11.082003745207258
288,Endurance,Plant-Based,Medium,10.265872370445383
289,Endurance,Keto,Low,11.039744452699967
290,Strength,High-Protein,Medium,9.763353154638018
291,Endurance,Keto,Low,9.900382736346849
292,HIIT,Keto,Low,7.761770143946583
293,Strength,High-Protein,Low,10.595520501836795
294,HIIT,Keto,Medium,6.560917986575559
295,HIIT,Plant-Based,Medium,10.567116141221826
296,Endurance,Plant-Based,Medium,9.43876796767037
297,Endurance,Keto,Low,10.749170218901956
298,Endurance,Plant-Based,Medium,7.902343331836648
299,Endurance,Keto,Medium,5.761285263922716
300,Endurance,Plant-Based,Low,9.29826938605292
